Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company_Name,Sector
2020-06-15 00:00:00-04:00,180.47055565276642,185.75920738497905,179.7081464158127,185.06434631347656,6752700,0.0,0.0,Visa Inc.,Financial Services
2020-06-16 00:00:00-04:00,189.9862597713689,191.45319020754695,185.10294163853874,186.14523315429688,11057200,0.0,0.0,Visa Inc.,Financial Services
2020-06-17 00:00:00-04:00,186.89796682169955,188.54825041249302,186.31891116380885,186.80145263671875,5968900,0.0,0.0,Visa Inc.,Financial Services
2020-06-18 00:00:00-04:00,185.8750104662265,187.46739168667884,185.40211444709854,187.13926696777344,5803200,0.0,0.0,Visa Inc.,Financial Services
2020-06-19 00:00:00-04:00,190.01519433564224,190.2178682483395,184.6879319667218,185.48895263671875,11483300,0.0,0.0,Visa Inc.,Financial Services
2020-06-22 00:00:00-04:00,185.28629020664025,189.5036981982955,184.6107203268071,188.152587890625,6674500,0.0,0.0,Visa Inc.,Financial Services
2020-06-23 00:00:00-04:00,189.397566197339,193.16138455238925,188.98258751567963,191.05751037597656,9866800,0.0,0.0,Visa Inc.,Financial Services
2020-06-24 00:00:00-04:00,190.14063224393277,190.58456212008082,184.03165587523097,184.7265167236328,9453100,0.0,0.0,Visa Inc.,Financial Services
2020-06-25 00:00:00-04:00,184.42735821826886,187.45771810180622,183.26924689381102,187.206787109375,9936600,0.0,0.0,Visa Inc.,Financial Services
2020-06-26 00:00:00-04:00,186.35752436488443,187.35155862972914,182.47788676533676,182.6612548828125,11836000,0.0,0.0,Visa Inc.,Financial Services
2020-06-29 00:00:00-04:00,183.27892803759957,184.76514947525328,180.7600606540055,184.69760131835938,8020400,0.0,0.0,Visa Inc.,Financial Services
2020-06-30 00:00:00-04:00,184.80377724371934,186.98485985603483,183.52021489023272,186.42510986328125,9040100,0.0,0.0,Visa Inc.,Financial Services
2020-07-01 00:00:00-04:00,187.08137209220564,188.52899679843574,185.9329208024364,187.01380920410156,6394100,0.0,0.0,Visa Inc.,Financial Services
2020-07-02 00:00:00-04:00,189.1562629621141,191.0092205056437,188.1911799878176,188.83778381347656,6299300,0.0,0.0,Visa Inc.,Financial Services
2020-07-06 00:00:00-04:00,191.79095966263446,192.22524411090143,188.84745327282613,190.85482788085938,7292200,0.0,0.0,Visa Inc.,Financial Services
2020-07-07 00:00:00-04:00,189.93799580854255,191.9550158816613,187.04274661137723,187.41912841796875,7660100,0.0,0.0,Visa Inc.,Financial Services
2020-07-08 00:00:00-04:00,188.26841933367996,188.69305826831692,186.3768499137517,188.25877380371094,8368000,0.0,0.0,Visa Inc.,Financial Services
2020-07-09 00:00:00-04:00,188.19117108284527,188.66406701923282,183.31749934806453,185.49859619140625,8548200,0.0,0.0,Visa Inc.,Financial Services
2020-07-10 00:00:00-04:00,184.958152905926,186.08731298607591,182.82532770119414,185.8267364501953,7674200,0.0,0.0,Visa Inc.,Financial Services
2020-07-13 00:00:00-04:00,186.8497257354866,188.37455868762467,182.11116453134846,182.4199981689453,8564100,0.0,0.0,Visa Inc.,Financial Services
2020-07-14 00:00:00-04:00,182.88325854424698,186.71463986175002,180.6442585479428,186.57952880859375,8003900,0.0,0.0,Visa Inc.,Financial Services
2020-07-15 00:00:00-04:00,188.41318639669163,190.86450593721676,187.70867979375365,189.68710327148438,7681100,0.0,0.0,Visa Inc.,Financial Services
2020-07-16 00:00:00-04:00,188.50967985398475,188.87641613684156,185.79779875433093,186.7435760498047,5064000,0.0,0.0,Visa Inc.,Financial Services
2020-07-17 00:00:00-04:00,188.02714460515622,188.74131140987876,186.37684600308106,188.27806091308594,6395000,0.0,0.0,Visa Inc.,Financial Services
2020-07-20 00:00:00-04:00,187.94028331623326,192.5147676668352,186.9076373575621,191.5400390625,6985300,0.0,0.0,Visa Inc.,Financial Services
2020-07-21 00:00:00-04:00,193.0165876429434,193.18064997532028,188.84742228137728,189.61949157714844,7218700,0.0,0.0,Visa Inc.,Financial Services
2020-07-22 00:00:00-04:00,189.61949494861716,192.05150811943903,189.39752999216037,191.91639709472656,6823400,0.0,0.0,Visa Inc.,Financial Services
2020-07-23 00:00:00-04:00,191.5110897762025,193.9334430186057,189.57126335038237,190.53634643554688,6106700,0.0,0.0,Visa Inc.,Financial Services
2020-07-24 00:00:00-04:00,188.83778477246204,190.58458260864998,187.255049275618,188.3359375,7160300,0.0,0.0,Visa Inc.,Financial Services
2020-07-27 00:00:00-04:00,188.34558972171493,190.90305361711657,187.4191036217599,190.03448486328125,5604700,0.0,0.0,Visa Inc.,Financial Services
2020-07-28 00:00:00-04:00,190.78727887334642,192.40861139993416,189.84150156617028,189.87045288085938,6897300,0.0,0.0,Visa Inc.,Financial Services
2020-07-29 00:00:00-04:00,186.3479425427144,191.94542897875533,186.30934568773634,191.64625549316406,9471300,0.0,0.0,Visa Inc.,Financial Services
2020-07-30 00:00:00-04:00,188.38420591417633,189.69671943379387,185.41174839251306,187.2840118408203,10499400,0.0,0.0,Visa Inc.,Financial Services
2020-07-31 00:00:00-04:00,187.63140722662263,187.89198372120228,182.82529872368585,183.75177001953125,14180800,0.0,0.0,Visa Inc.,Financial Services
2020-08-03 00:00:00-04:00,185.10290460366937,186.58912580178065,183.56842631498378,184.0316619873047,11405200,0.0,0.0,Visa Inc.,Financial Services
2020-08-04 00:00:00-04:00,184.45629022983155,186.20308783593194,183.44295028995137,185.57577514648438,8204000,0.0,0.0,Visa Inc.,Financial Services
2020-08-05 00:00:00-04:00,186.8014731601374,191.26015214736984,186.35754320284516,189.25279235839844,8876800,0.0,0.0,Visa Inc.,Financial Services
2020-08-06 00:00:00-04:00,189.1369543626362,191.97430062097249,187.98850328416702,191.8295440673828,7480300,0.0,0.0,Visa Inc.,Financial Services
2020-08-07 00:00:00-04:00,190.69075591144883,191.06713771111185,188.48072221106827,189.5037078857422,5654000,0.0,0.0,Visa Inc.,Financial Services
2020-08-10 00:00:00-04:00,189.5037224977355,191.38563164115828,188.50968805977377,189.918701171875,5525400,0.0,0.0,Visa Inc.,Financial Services
2020-08-11 00:00:00-04:00,190.91274379400085,195.80570739923724,189.48441021911592,190.86448669433594,11549600,0.0,0.0,Visa Inc.,Financial Services
2020-08-12 00:00:00-04:00,192.0515449773026,193.2385931169476,191.31808709181465,191.80062866210938,5432500,0.0,0.0,Visa Inc.,Financial Services
2020-08-13 00:00:00-04:00,190.53444987155797,193.25043082679286,190.43778976175645,190.96939086914062,7014800,0.3,0.0,Visa Inc.,Financial Services
